Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
92399,CA,5.0,32927.41,06/19/2013,
92399,CA,5.0,26250.0,01/14/2013,
92399,CA,5.0,22527.0,02/20/2014,
92399,CA,5.0,27245.19,6-5-2013,
92404,CA,5.0,35000.0,02/14/2014,
92404,CA,5.0,37500.0,12/23/2011,
92404,CA,5.0,24500.0,1-9-2014,
92404,CA,5.0,19952.91,1-3-2014,
92407,CA,5.0,0.0,11/19/2013,
92509,CA,5.0,28000.0,2-6-2014,
92509,CA,5.0,25236.0,01/24/2013,
92530,CA,5.0,25500.0,12-5-2013,
92530,CA,5.0,25600.0,10-10-2012,
92530,CA,5.0,30000.0,07/30/2013,
92530,CA,5.0,30000.0,11-4-2013,
92530,CA,5.0,27197.0,11/19/2013,
92532,CA,5.0,22450.0,11/13/2013,
92532,CA,5.0,20113.02,1-9-2014,
92532,CA,5.0,28550.0,09/23/2013,
92532,CA,5.0,24250.0,07/25/2012,
92532,CA,5.0,20010.63,01/20/2014,
92532,CA,5.0,30000.0,11/25/2013,
92544,CA,5.0,24000.0,05/18/2012,
92545,CA,5.0,26750.0,01/15/2014,
92548,CA,5.0,27669.0,03/30/2012,
92555,CA,5.0,27635.94,06/14/2013,
92555,CA,5.0,26900.0,12-5-2012,
92562,CA,5.0,26770.31,02/26/2013,
92128,CA,5.0,17830.0,10/31/2011,
92129,CA,5.0,31345.0,03/30/2011,
92129,CA,5.0,17880.0,3-11-2013,
92562,CA,5.0,20675.99,07/19/2013,
92562,CA,5.0,18940.24,3-1-2013,
92562,CA,5.0,0.0,12-11-2013,
92562,CA,5.0,15750.0,10-3-2013,
92562,CA,5.0,30350.0,11/19/2013,
92562,CA,5.0,37500.0,2-9-2012,
92583,CA,5.0,26268.32,06/20/2012,
92563,CA,5.0,31129.0,10/14/2013,
92563,CA,5.0,0.0,12/14/2013,
92563,CA,5.0,22215.45,8-9-2013,
92563,CA,5.0,22000.0,11/18/2013,
92567,CA,5.0,25500.0,11/20/2012,
92571,CA,5.0,25500.0,1-3-2014,
92571,CA,5.0,33045.5,05/24/2013,
92571,CA,5.0,25500.0,1-7-2014,
92582,CA,5.0,24500.0,01/30/2014,
92582,CA,5.0,24800.0,01/14/2014,
92583,CA,5.0,27627.3,06/18/2013,
92584,CA,5.0,20003.07,12-4-2013,
92584,CA,5.0,19250.0,12-11-2013,
92584,CA,5.0,27957.0,11/19/2013,
92584,CA,5.0,24143.0,01/28/2013,
92585,CA,5.0,24250.0,12-11-2013,
