ZIP,State,Annual Average (kWh/m2/day)
4493,ME,3;98
4495,ME,4;02
4496,ME,3;98
4497,ME,4;02
4530,ME,4;07
4535,ME,4;03
4537,ME,4;05
4538,ME,4;01
4539,ME,4;06
4541,ME,4;04
4543,ME,4;03
4544,ME,4;04
4547,ME,3;99
4548,ME,4;02
4551,ME,3;99
4553,ME,4;06
4554,ME,3;95
4555,ME,3;96
4556,ME,4;07
4558,ME,4;02
4562,ME,4;09
4563,ME,4;00
4564,ME,4;02
4568,ME,4;03
4571,ME,4;08
4572,ME,3;96
4573,ME,4;10
4574,ME,3;96
4575,ME,4;07
4576,ME,4;07
4578,ME,4;05
4579,ME,4;04
4605,ME,3;98
4606,ME,4;01
4607,ME,4;10
4609,ME,4;01
4611,ME,3;97
4612,ME,3;91
4613,ME,4;02
4614,ME,3;99
4616,ME,3;98
4617,ME,3;97
4619,ME,3;86
4622,ME,4;01
4623,ME,4;00
4624,ME,4;04
4626,ME,3;82
4627,ME,3;94
4628,ME,3;96
4629,ME,4;01
4630,ME,3;94
4631,ME,3;77
4634,ME,4;05
4637,ME,3;85
4640,ME,4;09
4642,ME,3;94
4643,ME,4;01
4646,ME,3;88
4648,ME,4;00
4649,ME,3;97
4650,ME,3;91
4652,ME,3;78
4653,ME,3;89
4654,ME,4;00
4655,ME,3;92
4657,ME,3;97
4658,ME,4;03
4660,ME,3;97
4662,ME,3;94
4664,ME,4;14
4666,ME,3;95
4667,ME,3;81
4668,ME,3;90
4669,ME,4;02
4671,ME,3;88
4673,ME,3;96
4674,ME,3;97
4675,ME,3;91
4676,ME,3;96
4677,ME,4;13
4679,ME,3;90
4680,ME,4;04
4681,ME,3;88
4684,ME,3;98
4685,ME,3;91
4686,ME,3;98
4691,ME,3;87
4693,ME,4;04
4694,ME,3;97
4730,ME,3;99
4732,ME,4;08
4733,ME,3;94
4734,ME,3;90
4735,ME,3;95
4736,ME,3;87
4738,ME,3;80
4739,ME,4;06
