INCITS,Zipcode,Radiation
5039,75287,3;73
5037,72396,3;69
5035,72384,3;76
5033,72956,3;64
5031,72447,3;85
30055,59274,4;58
19073,72474,4;00
19075,64683,3;92
19079,76565,3;99
53057,98284,3;71
53051,99180,3;80
1095,73446,3;69
29510,63146,4;61
35031,87375,4;26
35033,87753,4;30
35035,88354,4;39
37049,28586,4;13
37043,76377,4;13
6109,95383,3;75
6107,93673,3;74
6105,96093,3;72
6103,96092,3;71
36053,83460,4;58
36051,70785,4;44
49037,98280,3;60
49033,84086,3;58
49031,84750,3;56
48341,79086,3;58
26161,48198,3;68
48177,78959,3;60
51540,22904,4;42
4027,85367,4;12
4021,85631,4;11
42055,99343,4;19
42051,78963,4;22
42053,54566,4;25
48139,76670,3;61
48131,78384,3;58
48133,76471,3;60
48135,79766,3;61
48137,78880,3;61
55033,58644,3;97
55031,98858,3;98
27157,55991,4;51
39157,44683,4;41
39153,84098,4;42
39159,97883,4;48
51047,22741,4;30
21131,41777,4;02
21133,41858,4;05
20007,67143,4;22
20005,66058,4;20
20003,75861,4;18
48441,79699,3;45
48445,79345,3;45
48449,75558,3;61
1011,36089,3;75
1013,68669,3;67
11001,20597,3;78
51023,24175,4;40
51025,28479,4;35
51027,64507,4;44
51029,23936,4;35
19139,52778,4;04
19137,77386,3;96
19135,72134,3;94
19133,51572,3;96
19131,79565,3;98
47117,73446,4;04
47115,97392,4;08
47111,65247,4;04
47119,38487,4;08
21075,72583,4;12
21077,62984,4;11
21071,79241,4;00
17177,61089,3;83
20037,72956,4;20
24019,29485,4;19
24015,21930,4;23
24017,20695,4;20
24011,22580,4;23
24013,72660,4;23
5101,75977,3;70
37115,83460,4;06
17201,61115,3;74
20201,97229,4;19
51510,22332,4;48
2130,99901,3;78
53013,99359,3;81
53011,98686,3;77
53017,98858,3;74
53015,98674,3;88
16033,98686,3;40
31097,82834,4;54
31093,79720,4;61
6039,93669,3;71
6033,97735,3;77
6031,93266,3;72
6037,93599,3;81
6035,96137,3;72
19083,77663,4;05
19081,62380,4;02
16059,83469,3;44
19085,75692,3;96
16055,83876,3;44
16057,83872,3;42
16051,98376,3;39
16053,83338,3;40
17019,61880,3;87
17013,77983,3;87
17011,61379,3;85
17017,75656,3;59
42103,71959,4;07
42101,19154,4;09
28163,39194,4;61
18041,78963,3;83
18045,47987,3;71
18049,72583,3;80
21223,40045,4;13
20001,71463,4;20
54021,30540,3;98
48045,79257,3;53
48047,78355,3;55
48041,77845,3;54
48043,79852,3;55
48049,76890,3;52
29115,97446,4;64
22027,71079,4;35
22025,71425,4;29
37191,84775,4;15
47011,71671,4;00
47017,72660,3;97
12027,71078,3;95
12023,99359,3;84
12029,32680,3;64
13087,67749,3;56
13081,31712,3;61
13083,65752,3;73
1129,97229,3;68
28083,38959,4;61
28081,78948,4;62
28089,83460,4;65
31019,68876,4;65
31017,76890,4;66
31015,68777,4;66
31011,72682,4;67
20111,89447,4;36
5065,72585,3;73
5067,97541,3;72
5061,79720,3;69
5069,98376,3;68
30005,83354,4;42
8069,80549,4;04
8067,81326,4;06
8065,97735,3;96
8063,80861,3;98
8061,81071,4;03
19009,51543,3;96
19003,99371,4;00
19001,74965,3;95
19007,52594,3;89
17093,78074,3;84
17099,78021,3;62
54005,72682,3;94
54007,26631,3;93
54003,29492,3;95
27051,99357,4;49
27053,55455,4;41
27055,75858,4;52
35005,88253,4;30
35007,87749,4;35
35006,87357,4;34
37095,57540,4;04
17113,61799,3;81
17111,60180,3;81
45033,29567,3;98
45039,43157,3;89
38041,58650,4;36
38047,80751,4;31
38049,60180,4;33
40013,74753,3;98
40011,83354,4;02
40019,73488,4;07
42069,18653,4;24
41007,97146,3;92
41005,97267,3;99
28001,99371,4;59
55037,54542,4;09
48167,77650,3;58
48165,79360,3;59
48161,76693,3;60
48169,79356,3;62
29015,99353,4;62
22101,70538,4;31
22103,70471,4;35
56029,82450,4;03
56025,82648,4;09
56027,82242,4;11
56021,82082,4;12
56023,99185,4;09
30083,71269,4;43
31031,69221,4;64
53029,98282,3;74
53027,98595,3;70
53023,99347,3;79
53021,99343,3;79
48419,75975,3;42
48417,76464,3;63
48415,79549,3;65
48413,76936,3;55
48411,76877,3;55
37019,28479,4;16
37013,29941,4;06
37015,27983,4;13
36003,21766,4;48
36005,10475,4;55
36009,14788,4;54
46071,97541,3;81
46077,57353,3;87
46075,79553,3;85
45015,29492,3;93
45011,29853,3;91
45013,29941,3;93
12117,74884,3;78
48335,79565,3;61
48331,77857,3;60
6001,94720,3;78
23025,21890,4;46
12095,92887,3;74
12093,34974,3;51
55049,53595,4;06
55047,54968,4;02
55045,53574,3;99
55043,99357,3;99
55041,54566,3;89
40119,74085,4;10
40117,74650,4;08
40115,74370,4;09
40111,74447,4;10
6043,95389,3;73
21221,42215,4;09
21225,97883,4;00
21227,63390,4;13
21229,97229,4;11
17063,64683,3;69
17061,72474,3;59
17067,62380,3;76
17065,76565,3;91
28159,39346,4;58
17027,64493,3;84
17025,76377,3;85
17023,98686,3;61
17021,65754,3;65
54015,76377,3;95
17029,62469,3;65
36089,13697,4;57
36081,11697,4;55
36083,12198,4;54
18079,47282,3;69
18071,97541,3;67
18073,77612,3;84
47167,46076,4;08
47165,67152,4;08
47163,64667,4;01
47161,37079,4;08
21023,41044,4;00
21029,40165,4;15
