Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5301,VT,2.85,11100.0,7-10-2012,
5677,VT,2.87,17333.0,05/13/2011,
5676,VT,2.87,16933.0,3-3-2011,
5601,VT,2.87,19864.0,02/18/2011,
5403,VT,2.88,,12/29/2011,
5363,VT,2.88,26359.92,02/25/2005,
5061,VT,2.88,18647,10-12-2007,
5445,VT,2.88,22784.4,01/15/2004,
5464,VT,2.88,15900,12-10-2004,
5262,VT,2.88,28721,12-7-2007,
5742,VT,2.88,25816,09/28/2007,
5060,VT,2.88,26900,10-5-2007,
5035,VT,2.88,20369.56,8-4-2008,
5828,VT,2.88,26903,10/30/2008,
5072,VT,2.88,0.0,11/23/2010,
5734,VT,2.88,17759.0,11/15/2010,
5201,VT,2.88,19123.0,8-2-2010,
5841,VT,2.88,15840.0,5-1-2012,
5401,VT,2.88,6898.0,6-7-2012,
5871,VT,2.88,17940.0,06/18/2012,
5841,VT,2.88,17258.0,07/31/2012,
5464,VT,2.88,19980.0,9-7-2012,
5764,VT,2.88,12960.0,06/29/2012,
5154,VT,2.88,15264.0,07/27/2012,
5473,VT,2.88,13399.0,12/13/2012,
5062,VT,2.9,36900,6-5-2009,
5452,VT,2.9,22345,01/29/2009,
5674,VT,2.9,22721,01/26/2009,
5673,VT,2.9,24031,01/30/2009,
5602,VT,2.925,26897.45,09/26/2008,
5651,VT,2.925,25996.8,09/26/2008,
5677,VT,2.925,17257.0,11-10-2011,
5764,VT,2.94,19219.94,1-12-2012,
5401,VT,2.94,36527.0,4-8-2010,
5346,VT,2.94,14660.0,07/22/2011,
5301,VT,2.94,14960.0,07/21/2011,
5701,VT,2.94,19193.0,05/26/2011,
5602,VT,2.94,18375.0,05/21/2012,
5143,VT,2.94,21309.0,09/26/2012,
5156,VT,2.94,17391.0,12-5-2012,
5445,VT,2.96,14460.0,8-4-2011,
5753,VT,2.97,27929.25,5-7-2004,
5301,VT,2.97,22135,10-8-2004,
