Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
90402,CA,7.0,49184.71,11/27/2007,
90026,CA,7.0,57250.0,10/23/2007,
90049,CA,7.0,63000.0,03/20/2007,
90049,CA,7.0,54000.0,2-1-2007,
90042,CA,7.0,65995.0,1-8-2007,
90048,CA,7.0,49940.2,12/19/2006,
90077,CA,7.0,49442.4,12-7-2006,
90049,CA,7.0,48410.0,07/21/2006,
91344,CA,7.0,34154.0,10/24/2011,
91364,CA,7.0,38500.0,05/27/2011,
91324,CA,7.0,40844.3,5-12-2011,
91326,CA,7.0,45132.6,5-11-2011,
91344,CA,7.0,63000.0,5-4-2011,
90049,CA,7.0,63000.0,4-12-2011,
91423,CA,7.0,89000.0,12-9-2011,
92841,CA,7.0,,10/29/2012,
94558,CA,7.0,60872.0,01/23/2004,
94062,CA,7.0,55300.0,4-2-2004,
95448,CA,7.0,36232.71,04/13/2005,
91724,CA,7.0,44684.89,04/28/2010,
93065,CA,7.0,63000.0,04/28/2010,
94549,CA,7.0,61200.0,5-5-2010,
95032,CA,7.0,39798.0,5-5-2010,
95360,CA,7.0,49894.0,04/20/2006,
94550,CA,7.0,49894.0,6-6-2006,
92234,CA,7.0,42902.1,05/26/2005,
91737,CA,7.0,57206.11,07/20/2006,
91387,CA,7.0,52394.0,3-3-2006,
94960,CA,7.0,32045.07,01/14/2005,
95461,CA,7.0,50964.0,04/13/2005,
92648,CA,7.0,49894.0,06/28/2006,
93304,CA,7.0,46260.0,6-6-2006,
94551,CA,7.0,49970.0,1-12-2007,
92119,CA,7.0,49894.0,08/25/2006,
92026,CA,7.0,51147.59,5-4-2006,
93654,CA,7.0,51900.0,04/20/2006,
91941,CA,7.0,47458.0,02/28/2005,
94024,CA,7.0,49037.0,06/15/2005,
95203,CA,7.0,45510.0,12-1-2005,
92008,CA,7.0,41662.35,4-7-2005,
92563,CA,7.0,43063.1,06/14/2005,
92037,CA,7.0,43776.4,10/13/2005,
92563,CA,7.0,38729.58,5-6-2005,
94134,CA,7.0,57597.11,08/16/2006,
91913,CA,7.0,49543.0,11/29/2005,
94022,CA,7.0,53701.76,04/20/2007,
92028,CA,7.0,45657.7,5-11-2005,
93432,CA,7.0,49894.0,10/27/2005,
92082,CA,7.0,48530.3,11-3-2005,
95125,CA,7.0,51093.0,10/17/2006,
92028,CA,7.0,53103.0,6-2-2005,
